Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|g__Tomitella,194,117,111,97,65,65,114,107,163,168,130,173,109,139,117,118,168
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Tsukamurellaceae,148,109,88,69,74,61,74,103,108,166,74,93,80,133,114,89,121
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Segniliparaceae,73,25,41,49,18,46,30,34,51,40,192,77,183,85,69,35,41
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae,19062,11885,11478,9518,10482,8189,10408,12913,13548,20884,11982,15954,11949,20177,17194,15578,15260
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae,3018,2035,1840,1856,1877,1254,1713,2248,2374,2924,2162,2481,2301,3291,2793,2617,2628
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Nocardioidaceae,2638,1750,2032,1325,1704,1087,1920,1828,2038,2831,2049,2458,1767,2845,2140,2427,2485
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Kribbellaceae,161,89,77,75,121,74,106,152,124,208,147,191,138,155,123,121,128
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Actinopolymorphaceae,87,106,46,48,78,47,76,110,150,125,114,85,65,82,80,60,186
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae,4546,3002,2885,2175,2270,1739,2456,3054,4045,3923,2756,3614,2872,4712,4082,3590,4007
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales|f__Pseudonocardiaceae,3736,2526,2319,2060,2190,1654,2146,2982,3367,4110,2870,3557,2626,3889,3295,3441,3859
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales|f__Micromonosporaceae,3659,2333,2423,2037,2327,1528,2219,2459,2972,4015,2439,3350,2354,4062,3422,3545,3113
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae,727,465,411,354,465,292,439,531,623,915,667,801,600,874,755,657,700
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Thermomonosporaceae,554,313,327,327,273,283,319,449,410,667,342,458,297,696,548,599,404
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Nocardiopsaceae,516,351,290,269,256,245,294,350,508,547,353,477,367,554,417,460,454
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales|f__Frankiaceae,492,304,316,266,235,181,220,298,331,526,264,459,280,458,467,374,318
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus Nanopelagicales|f__Candidatus Nanopelagicaceae,425,257,363,276,226,275,294,323,343,388,273,342,235,491,378,406,368
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales|f__Nakamurellaceae,297,238,154,178,228,170,200,242,296,378,271,284,242,359,293,295,295
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales|f__Geodermatophilaceae,297,164,175,171,173,145,122,191,135,313,157,223,153,287,251,303,179
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae,180,105,122,118,121,57,124,143,137,203,101,173,111,144,155,242,169
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Glycomycetales|f__Glycomycetaceae,152,101,112,102,130,73,66,96,65,198,72,147,97,246,197,148,128
d__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae,121,71,56,22,39,33,44,43,90,77,68,66,66,119,85,82,82
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae,7737,4731,4531,4642,3946,2952,5446,7350,6522,8889,4954,5874,4845,8033,6761,5734,6562
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae,3472,1901,2014,1616,1351,1485,1833,3899,5402,4206,2780,2782,4117,4518,4192,4198,2277
d__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae,1226,709,824,865,640,505,708,1004,874,1285,639,1069,672,1541,1316,1399,705
