Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales|f__Chitinophagaceae|g__Niabella,382,316,313,877,771,475,341,839,721,890,432,497,464,822,761,736,673
d__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Haliscomenobacteraceae|g__Haliscomenobacter,433,575,395,765,707,471,410,1011,662,722,572,599,813,817,404,785,654
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium,871,713,555,740,693,541,653,1014,1098,1007,737,914,838,910,855,792,1101
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobaculum,640,640,435,575,698,455,469,920,929,693,782,778,835,818,577,777,1013
d__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae|g__Prosthecochloris,620,465,385,547,544,406,458,945,984,620,554,655,740,788,513,648,790
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium,228043,57765,112479,22143,15634,24379,53577,26964,35875,73237,43905,84965,43996,114086,134491,71470,46643
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,107664,28288,57378,16859,9225,16379,27887,18485,21384,38876,20716,37654,20878,60709,73711,37241,26348
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster,91430,23940,41384,9488,8693,14669,23086,11052,15146,34710,20557,34358,18427,56075,57025,36093,20175
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia,71994,17861,35802,9501,5289,9262,16249,9683,12341,21220,10292,21773,11214,36409,45853,22993,15957
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,33964,7474,18633,4954,2834,4582,7927,5408,6017,10715,5615,10914,5497,18070,20518,11750,7269
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora,30095,9161,15540,5085,2884,5292,8121,5802,6535,12081,6409,12023,6480,18961,20346,11282,8055
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter,27452,6738,14304,4087,1944,3986,6968,4173,5586,10355,6503,13439,6243,18874,23134,12045,7076
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio,22457,5593,12313,5208,2786,4239,5461,4724,4485,8268,4041,8165,3863,14970,14937,9589,5605
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes,20942,5466,11967,3704,1723,3446,5623,3918,4228,7172,3601,6051,3897,11830,13150,7378,4992
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum,18469,2923,6654,1647,1037,1530,3524,1832,2047,3042,3284,7951,3431,4672,5137,2866,2910
