#SampleID	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified	0.126	0	0.14138	0	0	0.31211	0	0	0	0.09896	0	0.32395	0	0.1948	0.09344	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04608	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04608	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0.11659	0.05112	0.10362	0.2458	0.12186	0.02261	0.09047	0.17508	0.8569	0.11469	0.36404	0.02479	0.73634	0.08566	1.64337	0.07997	0.68565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64337	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2|t__GCF_000403455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64337	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified	0.11659	0.05112	0.10362	0.2458	0.12186	0.02261	0.09047	0.17508	0.8569	0.11469	0.36404	0.02479	0.73634	0.08566	0	0.07997	0.68565
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname	4.08459	1.48603	0.29704	0	0	0.31387	0.31295	0	0.21241	0.04353	0.41175	1.02516	0.24185	0.18774	0.28214	0	0.46679
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA	2.68989	1.28221	0.29704	0	0	0.31387	0.31295	0	0.21241	0.04353	0.41175	0.62673	0.24185	0.18774	0.28214	0	0.46679
