Taxon	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella forsythia	4.144699987	4.955443686	3.864532856	5.300972803	5.661410724	4.733117175	4.848691823	5.339940094	5.909587943	4.745852757	5.264120264	5.050733936	5.859546267	4.456542112	4.245340615	4.751773344	5.457179952
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter splanchnicus	5.526178536	5.830620273	6.096885978	8.913903023	9.066472737	8.49875008	6.845813795	7.805653078	6.854601261	8.134277924	6.496900773	6.982333259	7.014710798	7.678741571	8.169383068	7.783137412	6.685785632
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas virosa	4.644808452	5.495199555	4.999277365	8.308077367	8.413224672	7.394466353	5.856923422	7.374784018	5.613049835	7.307829387	5.55557006	5.677419329	5.886887419	6.451086348	6.484902739	6.372177039	6.552592459
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas faecalis	3.887205184	4.870289864	4.371023675	6.567515908	6.944600722	6.42299928	5.377029495	6.300946913	6.308762124	6.031985444	5.68214293	5.147241913	6.295660528	5.729852366	5.839197871	5.843301554	5.637773015
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola	6.058165915	6.97829233	5.475502732	7.01911608	7.519727053	5.951051325	6.407264404	7.21780643	7.931394261	6.155062304	7.629512021	6.57228117	8.114706664	5.941641011	5.47446674	6.504550172	7.593877948
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter sp. 2CBH44	4.360853457	5.505289609	4.679503375	6.1268359	6.629836693	5.449067376	5.38574615	5.960887066	6.059436933	5.334112749	5.309130676	4.999373472	5.638122072	5.091651752	4.374292818	5.55482024	5.573033553
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas asaccharolytica	4.561898642	5.439025798	4.218019616	5.477121196	6.400224721	4.705006494	4.899730621	5.341458486	6.389774578	4.790132749	5.185243705	4.571581345	6.328809714	5.013303697	4.53020641	5.093474826	5.795317397
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gingivalis	4.174462383	4.98712992	3.607335705	5.036896443	5.315876069	4.428130436	4.734318255	5.230129282	5.966133698	4.497169765	5.478852245	4.644652869	6.073514971	4.311013638	4.001845076	4.769392246	5.510495705
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas cangingivalis	3.219039124	4.266002712	3.364235547	4.619620426	4.985614801	4.122859652	3.985388232	4.815117247	5.051600513	3.772395977	4.512258347	3.961550019	5.068669976	3.780901896	3.205990539	4.077462617	4.66373928
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas crevioricanis	2.757702918	3.409689895	2.323119922	3.97025609	4.055873265	3.477108934	3.164851982	4.064310305	4.32979791	3.393277261	3.930295716	3.401901462	4.371696882	3.05875725	3.191824192	3.140311347	3.831855688
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas|s__Petrimonas mucosa	3.86879918	4.715293633	3.356360377	4.647385196	5.118248806	4.187269746	4.283582896	4.876313173	5.48801541	4.004195589	5.023188654	4.400062826	5.698608124	3.948307688	3.612756143	4.201229005	5.137885142
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Proteiniphilum|s__Proteiniphilum saccharofermentans	3.729416619	4.610870196	3.578612423	4.994288103	5.230248227	4.258629147	4.2280517	4.95420028	5.320159499	4.247702957	4.886007439	4.344662534	5.423557295	4.051707345	3.484006229	4.430944001	5.059087449
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Paludibacteraceae|g__Paludibacter|s__Paludibacter propionicigenes	2.711436351	3.213683089	2.507118413	4.085049623	4.109068075	3.256638674	3.166471592	3.875153349	4.072075938	3.373855687	3.562581906	3.0983865	3.903893421	3.114409803	2.902471791	3.386440458	3.601929931
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__Tenuifilum|s__Tenuifilum thalassicum	2.016686142	2.703078323	1.855472506	3.071119688	3.380445813	2.882927567	2.301235882	3.346215574	3.876264187	2.435346157	3.022945252	2.514266124	3.645850934	2.391917749	2.29933414	2.925676892	3.339491353
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Prolixibacteraceae|g__Draconibacterium|s__Draconibacterium orientale	2.341562097	2.812289602	2.427745796	3.491807817	3.69234297	3.046441624	2.733663444	3.187775721	3.603872022	2.861728807	2.779412109	2.662378938	3.372868311	2.555953758	2.653026151	3.025030368	3.339491353
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Marinilabiliales|f__Marinilabiliaceae|g__Alkalitalea|s__Alkalitalea saponilacus	2.377922172	3.256479069	2.440572287	3.780516123	4.094419241	3.339429705	2.916093814	4.048035517	4.028979553	3.157266082	3.340303849	2.833121722	3.902662261	3.069859757	2.941095301	3.293186629	3.776114346
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium|s__Flavobacterium album	2.17591179	2.806541072	2.09875252	3.090596817	3.615765965	2.842209801	2.425471955	2.836250445	3.406142817	2.540288291	2.832424186	2.50354262	3.071385046	2.537168062	2.40953568	2.715355654	3.020005524
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Robiginitalea|s__Robiginitalea biformata	2.226637413	3.119453926	2.412635987	3.142417374	4.110282123	3.044199475	2.797768416	3.36066392	3.418718836	2.613087965	3.062071424	2.670071464	3.565665196	2.634191854	2.049926885	3.031682343	3.198868142
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium|s__Chryseobacterium taklimakanense	2.17591179	3.187382578	2.756584011	3.140719678	3.754227529	3.010142241	2.857141317	2.820657954	3.011528937	2.526952583	2.537124135	2.497070048	2.856757688	2.745386144	2.004721392	3.043579149	2.803247943
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae|g__Blattabacterium|s__Blattabacterium cuenoti	3.644659983	3.600057406	3.976658286	4.312440404	4.06842033	4.074241013	4.105075481	4.149294492	3.978905674	3.781549409	4.193417699	3.65446875	3.693616256	3.44413875	3.582308679	3.664975965	3.910791744
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter|s__Hymenobacter busanensis	2.470066063	3.245190362	2.290429288	3.069335931	3.644541807	2.704175244	2.83897536	3.072549795	3.889375396	2.543603046	3.506953198	2.893509645	4.024254896	2.407914408	1.66176351	2.912762455	3.631616461
