,clade_name,Start,RCJ_plus_DSS,RCJ_plus_DSS,RCJ_plus_DSS,RCJ,RCJ,RCJ,RCJ_plus_DSS,RCJ,DSS,Control,DSS,DSS,DSS,Control,Control,Control
64,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.06419,0.02659,0.66474,0.13065,0.11519,0.0300199999999999,0.0300199999999999,0.01228,0.00403,0.0073599999999999,0.05113,0.00571,0.00151,0.01824,0.0264899999999999,0.07831,0.09925
65,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_5_2,0.06419,0.02659,0.66474,0.13065,0.11519,0.0300199999999999,0.0300199999999999,0.01228,0.00403,0.0073599999999999,0.05113,0.00571,0.00151,0.01824,0.0264899999999999,0.07831,0.09925
66,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified,1.99149,0.21453,1.2513299999999998,0.26934,4.86894,1.28529,1.94232,2.41209,1.58395,0.8548899999999999,1.7386,4.51781,0.05679,0.5654899999999999,2.22207,2.06378,0.7350399999999999
67,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_10_1,0.19115,0.19395,0.21056,0.15708,0.0584,0.19119,0.0,0.20792,0.0508,0.03057,0.01043,0.14767,0.0,0.12103,0.0042,0.0,0.01249
68,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_28_4,0.47956,0.0205699999999999,1.0407799999999998,0.1122599999999999,0.13239,1.00496,0.90243,2.19267,0.36286,0.82431,1.28238,3.0943099999999997,0.05679,0.44445,0.43917,0.62136,0.26905
69,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_1,0.0064,0.0,0.0,0.0,0.0,0.00659,0.0,0.0,0.00286,0.0,0.0183699999999999,0.0,0.0,0.0,0.04639,0.00315,0.06545
70,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_3_2,0.01077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01223,0.0,0.0,0.0,0.04092,0.0,0.16591
71,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A2,1.14374,0.0,0.0,0.0,4.66885,0.0,1.03989,0.0,0.09418,0.0,0.26144,0.0,0.0,0.0,0.15361,1.36887,0.0163199999999999
72,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_A4,0.07483,0.0,0.0,0.0,0.0,0.00399,0.0,0.0,0.0362399999999999,0.0,0.1249,0.0,0.0,0.0,0.0864299999999999,0.06854,0.16693
73,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_COE1,0.08504,0.0,0.0,0.0,0.00929,0.07855,0.0,0.0,1.03701,0.0,0.02885,1.27584,0.0,0.0,1.45135,0.00186,0.03889
74,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_M18_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,0.04154,0.3207,0.47607,0.18971,0.07195,0.09462,0.02618,0.10475,0.02558,0.03802,0.07391,0.0,0.0176,0.14959,0.08336,0.01396,0.1761599999999999
76,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,0.04154,0.3207,0.47607,0.18971,0.07195,0.09462,0.02618,0.10475,0.02558,0.03802,0.07391,0.0,0.0176,0.14959,0.08336,0.01396,0.1761599999999999
77,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_1_3,0.04154,0.3207,0.47607,0.18971,0.07195,0.09462,0.02618,0.10475,0.02558,0.03802,0.07391,0.0,0.0176,0.14959,0.08336,0.01396,0.1761599999999999
78,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0.01045,0.10579,0.05911,0.10734,0.1216599999999999,0.01882,0.0535299999999999,0.29143,0.03157,0.17105,0.0,0.50818,0.06629,0.17017,0.0,0.01369,0.03092
79,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia,0.01045,0.10579,0.05911,0.10734,0.1216599999999999,0.01882,0.0535299999999999,0.29143,0.03157,0.17105,0.0,0.50818,0.06629,0.17017,0.0,0.01369,0.03092
80,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis,0.01045,0.10579,0.05911,0.10734,0.1216599999999999,0.01882,0.0535299999999999,0.29143,0.03157,0.17105,0.0,0.50818,0.06629,0.17017,0.0,0.01369,0.03092
81,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.59467,0.3021,0.25639,0.17285,0.29444,1.00612,0.2177199999999999,0.19189,0.24734,0.0446,0.60868,0.43899,0.47084,0.05906,1.43421,0.37632,1.79595
82,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter,0.0652399999999999,0.00482,0.01768,0.06159,0.02266,0.21778,0.0925,0.00715,0.02546,0.00078,0.0,0.0,0.2237,0.0,0.03924,0.00606,0.03941
83,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Acutalibacter|s__Acutalibacter_muris,0.0652399999999999,0.00482,0.01768,0.06159,0.02266,0.21778,0.0925,0.00715,0.02546,0.00078,0.0,0.0,0.2237,0.0,0.03924,0.00606,0.03941
