Treatment_Group,Control,Control,Control,DSS,DSS,RCE,RCE,RCE,RCE+DSS,RCE+DSS,RCE+DSS
Taxonomy,Control_328,Control_330,Control_327,DSS_334,DSS_339,RCE_322,RCE_318,RCE_319,RCE_plus_DSS_305,RCE_plus_DSS_313,RCE_plus_DSS_301
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Oceanihabitans,87,114,151,126,190,167,167,164,174,196,272
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Muriicola,143,89,147,302,305,231,159,239,329,300,378
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flagellimonas,165,133,146,154,219,117,124,151,104,212,237
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Lutibacter,133,237,134,109,77,94,130,185,119,139,135
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sediminicola,97,77,120,127,80,89,74,101,97,105,120
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesoflavibacter,95,184,118,262,156,143,139,116,136,184,225
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Siansivirga,95,137,109,224,194,59,118,117,181,230,214
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Psychroserpens,80,126,109,50,15,30,79,50,55,52,59
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Galbibacter,60,106,103,92,53,57,63,57,61,66,43
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Changchengzhania,157,117,101,86,68,101,117,129,123,84,137
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium,7557,9314,8659,9267,7831,7173,8463,6940,7573,8876,9413
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Kaistella,618,696,766,642,649,563,705,581,650,638,856
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Planobacterium,871,719,544,753,860,489,430,549,401,963,975
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Epilithonimonas,269,427,405,579,493,235,316,312,526,403,475
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Elizabethkingia,1830,1908,1701,2183,1670,1189,1462,1325,1335,1737,1831
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Empedobacter,422,788,662,491,372,379,519,474,460,560,561
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Apibacter,409,620,582,576,640,520,627,545,631,606,714
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Riemerella,218,264,339,394,273,343,306,291,439,318,350
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Ornithobacterium,392,256,324,526,415,535,472,329,311,446,521
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cruoricaptor,267,192,252,506,353,428,363,339,353,305,375
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Weeksella,174,123,176,155,84,102,117,80,73,133,135
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Bergeyella,99,66,125,138,161,176,93,194,93,215,157
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Cloacibacterium,109,215,113,119,124,36,113,157,138,164,184
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Blattabacteriaceae|g__Blattabacterium,1725,2655,2332,2196,1499,1204,1986,1708,1779,1972,2171
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae|g__Croceimicrobium,296,243,275,530,514,410,290,448,445,456,484
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Schleiferiaceae|g__Owenweeksia,286,216,270,398,374,233,298,326,275,405,428
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Crocinitomicaceae|g__Fluviicola,257,227,200,211,223,117,153,120,82,245,186
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|g__Candidatus Sulcia|s__Candidatus Sulcia muelleri,104,168,120,169,53,63,154,74,49,105,85
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Ichthyobacteriaceae|g__Ichthyobacterium,74,77,70,146,122,58,54,63,63,100,106
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter,11675,6294,10610,11097,11812,16882,12908,12010,6954,12259,11949
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Pontibacter,3414,2186,3005,4179,3759,3787,3178,3003,2493,4140,3924
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Rufibacter,1210,950,979,1327,1335,1377,1120,1263,1012,1445,1608
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Adhaeribacter,339,414,431,440,437,412,435,314,448,406,518
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Nibribacter,305,180,308,446,293,394,300,347,338,399,494
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Spirosoma,4336,2843,3849,4977,5053,4655,4230,4718,3310,5304,5059
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Runella,1001,611,1002,1229,1255,941,756,814,765,1174,1187
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Fibrella,1075,565,957,959,887,1964,1334,1183,647,1169,1027
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Dyadobacter,929,544,849,1284,1170,1283,1063,875,878,1249,1231
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Rhodocytophaga,386,298,416,260,226,480,375,265,362,269,324
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Aquirufa,80,109,325,218,160,79,86,103,205,184,246
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Cytophaga,125,238,202,320,187,173,194,230,267,347,299
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Leadbetterella,121,153,171,142,101,236,247,224,156,238,247
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cytophagaceae|g__Arcticibacterium,63,73,71,122,111,40,54,68,101,96,69
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola,1140,982,1301,1548,1542,1333,1179,1257,1100,1555,1710
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Algoriphagus,610,508,580,773,585,723,694,707,735,747,871
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Cyclobacterium,363,410,396,713,570,341,434,434,546,483,561
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Aquiflexum,349,333,293,463,419,245,208,196,304,492,444
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Belliella,196,135,153,105,116,199,172,175,212,150,254
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Chryseolinea,963,538,732,1106,1075,1355,1091,963,580,970,930
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Fulvivirgaceae|g__Fulvivirga,83,105,122,212,195,182,171,168,178,203,214
d__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Flammeovirgaceae|g__Flammeovirga,701,896,845,885,681,418,508,572,380,799,731
