Treatment_Gropu	Control	Control	Control	DSS	DSS	DSS	Control	DSS	RCE	RCE+DSS	RCE	RCE	RCE	RCE+DSS	RCE+DSS	RCE+DSS	Start
Taxonomy	Control_327	Control_328	Control_330	DSS_334	DSS_339	DSS_treatedp	D_Control	D_DSS	D_RCE	D_RCE_plus_DSS	RCE_318	RCE_319	RCE_322	RCE_plus_DSS_301	RCE_plus_DSS_305	RCE_plus_DSS_313	Start
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella sp. E39	0.091909994	0.106279403	0.085079588	0.233561535	0.127588522	0.094113611	0.125358929	0.188681827	0.193247972	0.075597574	0.161333943	0.136704428	0.235501692	0.189188495	0.070781261	0.183573309	0.184029597
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides distasonis	0.790932471	0.662802976	0.39553371	4.93470997	0.877928299	0.721070021	2.034816426	2.587303562	2.198143742	1.274533285	1.183427006	0.702745073	1.84051602	1.420964647	0.910854917	2.11748103	1.595403691
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides goldsteinii	0.142389058	0.241659304	0.106630205	0.655317545	0.303393089	0.204090084	0.463868483	0.638439438	0.689855537	0.427079841	0.387771861	0.389445021	0.54475458	0.635074208	0.210993569	0.759433007	0.399009916
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp. CT06	0.015109085	0.015395103	0.007838551	0.083062007	0.015474425	0.013690487	0.037781359	0.049944561	0.049662419	0.024110516	0.026823428	0.028617597	0.032952662	0.027204612	0.016292592	0.036532148	0.031438301
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella sp. oral taxon HOT-286	0.095048701	0.092824333	0.062859564	0.182028759	0.102150077	0.058020509	0.093906186	0.13495294	0.141042598	0.065117265	0.134141724	0.112904609	0.222697229	0.11924512	0.063250063	0.161436181	0.186531094
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella|s__Tannerella forsythia	0.055847335	0.05045651	0.036579904	0.129620171	0.064445319	0.045144663	0.065689126	0.099012526	0.095269405	0.056044975	0.082363412	0.091513678	0.140252807	0.094766261	0.071741414	0.101501086	0.104554081
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter splanchnicus	0.15087439	0.093950804	0.181863018	1.623790416	0.69514137	0.636234261	0.269299244	0.558284404	0.18490442	0.607436955	0.196541228	0.357117736	0.315372668	0.922045819	1.145612267	0.85793145	0.248284143
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas virosa	0.080372541	0.0741124	0.083546428	1.065828129	0.44153064	0.294990391	0.134518767	0.413496491	0.077269272	0.3415971	0.101294704	0.142847094	0.14298317	0.391132461	0.353666268	0.320193535	0.226173456
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas faecalis	0.04617146	0.047468233	0.053099164	0.316588509	0.158707214	0.149577054	0.095785737	0.195117321	0.126150521	0.139800352	0.110784936	0.098041766	0.190623304	0.235473385	0.224615736	0.220723649	0.118821091
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella viscericola	0.219644538	0.210196345	0.11727595	0.43419254	0.237079516	0.10735152	0.198090424	0.370607455	0.391814543	0.152443494	0.433551166	0.268061124	0.678824839	0.273422232	0.173547611	0.35133859	0.468055464
