Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Archaea|p__Euryarchaeota|c__Halobacteria,2284,1591,1468,1388,1290,915,1127,1658,1767,2139,1473,1663,1618,1858,1676,1706,1866
d__Archaea|p__Euryarchaeota|c__Methanobacteria,2024,1053,2666,808,544,602,1557,981,953,935,1363,939,714,808,626,1004,1478
d__Archaea|p__Euryarchaeota|c__Methanococci,1268,574,1422,331,209,371,736,446,705,517,738,602,367,513,604,561,897
d__Archaea|p__Euryarchaeota|c__Thermococci,812,689,793,644,597,498,522,822,540,731,505,576,313,844,606,785,630
d__Archaea|p__Euryarchaeota|c__Archaeoglobi,195,83,208,70,67,65,118,61,77,136,114,87,73,173,198,130,112
d__Archaea|p__Crenarchaeota|c__Thermoprotei,1567,878,2269,514,464,570,1156,658,685,787,1139,713,496,798,547,868,1148
d__Archaea|p__Thaumarchaeota|o__Nitrosopumilales,451,299,774,170,198,261,414,205,194,238,339,212,159,217,145,270,367
d__Archaea|p__Thaumarchaeota|c__Nitrososphaeria,306,168,435,101,74,106,245,141,174,167,223,146,95,175,136,142,256
d__Archaea|p__Candidatus Thermoplasmatota|c__Thermoplasmata,309,315,388,257,287,226,256,216,156,381,186,188,147,345,178,320,238
d__Archaea|p__Candidatus Lokiarchaeota|g__Candidatus Prometheoarchaeum,102,89,158,95,40,101,114,90,53,118,129,104,40,152,96,92,98
d__Viruses|p__Uroviricota|c__Caudoviricetes,2163,978,1922,636,603,694,1082,1107,874,1076,924,972,592,925,838,856,1155
d__Viruses|p__Peploviricota|c__Herviviricetes,133,92,250,18,16,28,155,32,67,66,102,83,58,55,42,69,106
d__Viruses|k__Pararnavirae|p__Artverviricota,1291,3329,2438,6,2644,3584,340,925,184,2212,209,767,227,542,136,42,415
d__Viruses|k__Orthornavirae|p__Pisuviricota,125,76,138,11,20,22,87,26,69,43,162,18,27,65,30,85,187
d__Viruses|k__Bamfordvirae|p__Nucleocytoviricota,1045,680,1953,155,136,222,1297,185,519,371,975,586,387,248,211,435,816
d__Viruses|f__Baculoviridae|g__Alphabaculovirus,224,331,427,224,279,176,265,129,105,183,138,144,47,195,36,292,258
